Ball1;Ball2;ProphecyText;EntityType;SelfCondition;Entity1Conditions;Entity2Conditions;Entity3Conditions;SelfEffect;Entity1Effect;Entity2Effect;Entity3Effect;;;;;;;;;;;
Santé;Spiritualité;Il pratiquera trop intésensément {0} et s'évanouira de fatigue et de douleur. Dans l'ambulance, il aura une expérience de mort imminente où il verra {1} lui parler de {2}, qu'il ne verra plus jamais de la même façon;Activity,Character,Any;;"ActivityType,Sport
BondMin,50
PopularityMax,80";;;HealthPlus,-10;BondPlus,-10;BondPlus,5;BondReverse,1;;;;;;;;;;;
Carrière;Nature;Alors qu'il flânera sur les bords de mer à {0}, Connor prendra conscience que seul un travail dans un tel environnement pourra lui plaire. Il deviendra donc {1};Place,Activity;;"PlaceType,Nature
BondMin,50
StateMin,30";"AssociatedPlace,Nature
StateMax,True";;CareerPlus,-10;BondPlus,30;"BondPlus,30
PopularityPlus,10";;;;;;;;;;;;
Carrière;Amitié;{0} rejoindra la même entreprise que Connor grâce à une recommandation de sa part;Character;;"BondMin,50
MoneyMax,50";;;CareerPlus,5;"BondPlus,10
MoneyPlus,10";;;;;;;;;;;;;
Carrière;Amour;Connor parviendra à convaicnre {0} de l'envoyer en mission à {1}, ce qui lui permettra de voir {2} pour la convaincre d'au moins rester amis;Character,Place,Character;;"IsBoss,True
BondMin,30";StateMin,30;"CharacterType,Crush
BondMax,30";;;BondPlus,10;BondPlus,20;;;;;;;;;;;
Carrière;Spiritualité;Connor comprendra que pour exceller à son métier, il devra s'améliorer d'abord en {0}, ce qu'il fera sous la guidance de {1};Activity,Character;;BondMax,50;"BondMin,20
HealthMin,40
MoneyMin,20";;CareerPlus,10;BondPlus,10;BondPlus,10;;;;;;;;;;;;
Nature;Amitié;A force que {0} emmène Connor à {1}, il comprendra l'importance d'en sauvegarder la pureté sauvage et s'investira dans sa protection;Character,Place;;;"PlaceType,Nature
BondMax,50
StateMax,40";;;;"BondPlus,20
StatePlus,10";;;;;;;;;;;;
Nature;Amour;Connaissant les moindres recoins de {0}, Connor y emmenera {1} pour une ballade en amoureux afin d'y faire {2}. Le date sera un succès qu'ils n'oublieront jamais.;Place,Character,Activity;;"PlaceType,Nature
BondMin,70
StateMin,60";CharacterType,Crush;BondMin,30;;BondPlus,5;BondPlus,10;;;;;;;;;;;;
Nature;Spiritualité;Connor contemplera la vie sauvage à {0} ce qui lui permettra de comprendre son amour pour {1};Place,Character;;"BondMin,30
StateMax,80";BondMax,50;;;;BondPlus,10;;;;;;;;;;;;
Amitié;Amour;Connor ne saura pas quoi porter à un bal dansant où il aura déjà invité {0}, mais {1} lui apportera un accessoire branché, fabriqué à partir de {2};Character,Character,Item;;CharacterType,Crush;"CharacterType,Friend
BondMin,50
MoneyMin,60";"ItemType,Artefact
StateMin,30";;BondPlus,20;BondPlus,10;"BondPlus,20
StatePlus,-5";;;;;;;;;;;
Amitié;Spiritualité;Après avoir fait {0} toute la soirée avec {1}, Connor discutera profondément avec lui autour d'un plat de {2}. Chaque fois qu'il pensera au sens de la vie, Connor se remémorera ce repas.;Activity,Character,Item;;"ActivityType,Leisure
BondMin,25";"CharacterType,Friend
BondMin,30";ItemType,Food;;;BondPlus,10;BondPlus,15;;;;;;;;;;;
Amour;Spiritualité;Alors qu'il passera devant l'église de {0}, Connor remarquera {1} sortir du confessionnal. Il en profitera pour lui proposer de lui confier ses soucis, alors qu'elle en aura bien besoin.;Place,Character;;"PlaceType,City
BondMin,10
StateMin,20";"HealthMax,40
CharacterType,Crush";;;BondPlus,10;"BondPlus,10
HealthPlus,10";;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
