Ball1;Ball2;ProphecyText;EntityType;SelfCondition;Entity1Conditions;Entity2Conditions;Entity3Conditions;SelfEffect;Entity1Effect;Entity2Effect;Entity3Effect;;;;;;;;;;;
Santé;Spiritualité;Too earnest about {0}, Connor will faint from fatigue. In the ambulance, he will have a near-death experience where he will see {1} talking to him about {2}, which he will never see in the same way ever again;StoryActivity,StoryCharacter,StoryItem;;ActivityTypeIs,Sport BondMin,50 PopularityMax,80;;;HealthPlus,-10;BondPlus,-10;BondPlus,5;BondReverse,1;;;;;;;;;;;
Carrière;Nature;As he strolls along the seashores {0}, Connor will realize that only working in such an environment can satisfy him. He will therefore make {1} his profession;StoryPlace,StoryActivity;;PlaceTypeIs,Nature BondMin,50 StateMin,30;AssociatedPlacesComprise,Nature ActivityTypeIs,Job;;CareerPlus,-10;BondPlus,30;BondPlus,30 PopularityPlus,10 BecomesJob,1;;;;;;;;;;;;
Carrière;Amitié;{0} will join the same company as Connor thanks to a recommendation from him.;StoryCharacter;;BondMin,50 MoneyMax,50;;;CareerPlus,5;BondPlus,10 MoneyPlus,10 BecomesColleague,1;;;;;;;;;;;;;
Carrière;Amour;Connor will manage to convince {0} to send him on a mission {1}, allowing him to see {2} to convince her to at least remain friends.;StoryCharacter,StoryPlace,StoryCharacter;;IsBoss,1;StateMin,30;CharacterTypeIs,Crush BondMax,30;;;BondPlus,10;BondPlus,20;;;;;;;;;;;
Carrière;Spiritualité;Connor will understand that to excel at his job, he will have to improve his {0} skills, which he will do under the guidance of {1};StoryActivity,StoryCharacter;;BondMax,50;BondMin,20 HealthMin,40 MoneyMin,20;;CareerPlus,10;BondPlus,10;BondPlus,10;;;;;;;;;;;;
Nature;Amitié;After {0} have take many times Connor {1}, he will understand the importance of preserving its wilderness and will invest himself in its protection;StoryCharacter,StoryPlace;;;PlaceTypeIs,Nature BondMax,50 StateMax,40;;;;BondPlus,20 StatePlus,10;;;;;;;;;;;;
Nature;Amour;Having become extremely familiar {0}, Connor will take {1} there for a romantic walk. The date, ending with them {2}, will remain an unforgettable memory for them both, ;StoryPlace,StoryCharacter,StoryActivity;;PlaceTypeIs,Nature BondMin,70 StateMin,60;CharacterTypeIs,Crush;BondMin,30;;BondPlus,5;BondPlus,10;;;;;;;;;;;;
Nature;Spiritualité;Contemplate the wild life {0}will allow Connor to understand his love for {1}.;StoryPlace,StoryCharacter;;BondMin,30 StateMax,80;BondMax,40 CharacterTypeIs,Crush;;;;BondReverse,1;;;;;;;;;;;;
Amitié;Amour;Connor won't know what to wear to a dance where he will have already invited {0}, but {1} will bring him the perfect trendy accessory, made from the {2};StoryCharacter,StoryCharacter,StoryItem;;CharacterTypeIs,Crush;CharacterTypeIs,Friend BondMin,50 MoneyMin,60;ItemTypeIs,Artefact StateMin,30;;BondPlus,20;BondPlus,10;BondPlus,20 StatePlus,-5;;;;;;;;;;;
Amitié;Spiritualité;After having fun {0} the whole evening with {1}, Connor will have a deep chat with her over a dish of {2}. Every time he thinks about the meaning of life, Connor will remember that meal.;StoryActivity,StoryCharacter,StoryItem;;ActivityTypeIs,Leisure BondMin,25;CharacterTypeIs,Friend BondMin,30;ItemTypeIs,Food;;;BondPlus,10;BondPlus,15;;;;;;;;;;;
Amour;Spiritualité;As he will pass by the church {0}, Connor will notice {1} coming out of the confessional. He will take advantage of this to offer to confide her worries, at a much appreciated time.;StoryPlace,StoryCharacter;;PlaceTypeIs,City BondMin,10 StateMin,20;HealthMax,40 CharacterTypeIs,Crush;;;BondPlus,10;BondPlus,10 HealthPlus,10;;;;;;;;;;;;
Finances;Santé; {1} anywhere will have become a much too popular practice, leading to a surge of accidents the hospital {0} won't be able to face on its own. Connor will use his sense of justice and his muscles to transport the afflicted, which will earn him both money and fame.;StoryPlace,StoryActivity;;PlaceTypeIs,City StateMax,30;PopularityMin,80 AssociatedPlacesComprise,City;;MoneyPlus,5;StatePlus,-5;PopularityPlus,-20 BondPlus,-5;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
